n,pattern,seed,policy,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
15,A,42,batch_reoptimize,36.3758,36.3758,1.0,5.6906,1.1213,32767,15,True,-1.473553,True,False
15,A,123,nearest_neighbor,36.5086,33.9659,1.0749,6.4862,1.1454,32767,15,False,1.090734,True,False
15,A,123,cheapest_insertion,33.9659,33.9659,1.0,6.4862,1.1454,32767,15,True,-1.256386,True,False
15,A,123,batch_reoptimize,33.9659,33.9659,1.0,6.4862,1.1454,32767,15,True,-1.256386,True,False
15,A,7,nearest_neighbor,51.7004,39.84,1.2977,6.0307,1.1939,32767,15,False,9.424933,True,True
15,A,7,cheapest_insertion,41.0518,39.84,1.0304,6.0307,1.1939,32767,15,True,-0.428896,True,False
15,A,7,batch_reoptimize,39.84,39.84,1.0,6.0307,1.1939,32767,15,True,-1.547497,True,False
15,A,99,nearest_neighbor,41.6256,39.6173,1.0507,6.0358,1.1513,32767,15,False,0.385723,True,False
15,A,99,cheapest_insertion,46.3004,39.6173,1.1687,6.0358,1.1513,32767,15,False,4.726645,True,True
15,A,99,batch_reoptimize,39.6173,39.6173,1.0,6.0358,1.1513,32767,15,True,-1.46066,True,False
15,A,256,nearest_neighbor,45.4331,36.8873,1.2317,5.939,1.115,32767,15,False,6.545858,True,True
15,A,256,cheapest_insertion,38.5375,36.8873,1.0447,5.939,1.115,32767,15,False,0.22162,True,False
15,A,256,batch_reoptimize,36.8873,36.8873,1.0,5.939,1.115,32767,15,True,-1.269297,True,False
15,B1,42,nearest_neighbor,42.9905,36.3758,1.1818,5.6906,,6657,13,True,-4.412532,False,False
15,B1,42,cheapest_insertion,42.6441,36.3758,1.1723,5.6906,,6657,13,True,-4.412532,False,False
15,B1,42,batch_reoptimize,42.572,36.3758,1.1703,5.6906,,6657,13,True,-4.412532,False,False
15,B1,123,nearest_neighbor,52.9203,33.9659,1.558,6.4862,,1665,11,True,-5.063064,False,False
15,B1,123,cheapest_insertion,41.5107,33.9659,1.2221,6.4862,,2689,12,True,-5.063064,False,False
15,B1,123,batch_reoptimize,40.3161,33.9659,1.187,6.4862,,2689,12,True,-5.063064,False,False
15,B1,7,nearest_neighbor,49.3319,39.84,1.2383,6.0307,,2881,12,True,-7.732108,False,False
15,B1,7,cheapest_insertion,44.0776,39.84,1.1064,6.0307,,3393,12,True,-7.732108,False,False
15,B1,7,batch_reoptimize,44.8592,39.84,1.126,6.0307,,4417,13,True,-7.732108,False,False
15,B1,99,nearest_neighbor,54.2286,39.6173,1.3688,6.0358,,1793,11,True,-6.025268,False,False
15,B1,99,cheapest_insertion,52.9334,39.6173,1.3361,6.0358,,4353,13,True,-6.025268,False,False
15,B1,99,batch_reoptimize,42.4847,39.6173,1.0724,6.0358,,3713,12,True,-6.025268,False,False
15,B1,256,nearest_neighbor,51.5147,36.8873,1.3965,5.939,,1841,11,True,-3.646716,False,False
15,B1,256,cheapest_insertion,47.0756,36.8873,1.2762,5.939,,2705,12,True,-4.400152,False,False
15,B1,256,batch_reoptimize,42.5307,36.8873,1.153,5.939,,2609,12,True,-4.400152,False,False
15,B2,42,nearest_neighbor,56.8304,36.3758,1.5623,5.6906,,561,9,True,-4.412532,False,False
15,B2,42,cheapest_insertion,47.8939,36.3758,1.3166,5.6906,,561,9,True,-4.412532,False,False
15,B2,42,batch_reoptimize,47.8939,36.3758,1.3166,5.6906,,561,9,True,-4.412532,False,False
15,B2,123,nearest_neighbor,58.1655,33.9659,1.7125,6.4862,,113,6,True,-5.063064,False,False
15,B2,123,cheapest_insertion,52.8244,33.9659,1.5552,6.4862,,225,7,True,-5.063064,False,False
15,B2,123,batch_reoptimize,50.0286,33.9659,1.4729,6.4862,,289,8,True,-5.063064,False,False
15,B2,7,nearest_neighbor,62.2688,39.84,1.563,6.0307,,509,9,True,-7.732108,False,False
15,B2,7,cheapest_insertion,56.6387,39.84,1.4217,6.0307,,509,9,True,-7.732108,False,False
15,B2,7,batch_reoptimize,56.6387,39.84,1.4217,6.0307,,509,9,True,-7.732108,False,False
15,B2,99,nearest_neighbor,59.7486,39.6173,1.5081,6.0358,,269,8,True,-6.025268,False,False
15,B2,99,cheapest_insertion,51.0923,39.6173,1.2896,6.0358,,269,8,True,-6.025268,False,False
15,B2,99,batch_reoptimize,51.0923,39.6173,1.2896,6.0358,,269,8,True,-6.025268,False,False
15,B2,256,nearest_neighbor,47.7754,36.8873,1.2952,5.939,,109,6,True,-4.400152,False,False
15,B2,256,cheapest_insertion,46.4445,36.8873,1.2591,5.939,,253,8,True,-4.400152,False,False
15,B2,256,batch_reoptimize,46.4445,36.8873,1.2591,5.939,,253,8,True,-4.400152,False,False
15,B5,42,nearest_neighbor,82.0503,36.3758,2.2556,5.6906,,26,4,True,-4.412532,False,False
15,B5,42,cheapest_insertion,83.5674,36.3758,2.2973,5.6906,,45,5,True,-4.412532,False,False
15,B5,42,batch_reoptimize,83.5674,36.3758,2.2973,5.6906,,45,5,True,-4.412532,False,False
15,B5,123,nearest_neighbor,81.0441,33.9659,2.386,6.4862,,18,3,True,-5.063064,False,False
15,B5,123,cheapest_insertion,81.0441,33.9659,2.386,6.4862,,18,3,True,-5.063064,False,False
15,B5,123,batch_reoptimize,81.0441,33.9659,2.386,6.4862,,18,3,True,-5.063064,False,False
15,B5,7,nearest_neighbor,87.5994,39.84,2.1988,6.0307,,21,3,True,-7.732108,False,False
15,B5,7,cheapest_insertion,88.6371,39.84,2.2248,6.0307,,29,4,True,-7.732108,False,False
15,B5,7,batch_reoptimize,88.6371,39.84,2.2248,6.0307,,29,4,True,-7.732108,False,False
15,B5,99,nearest_neighbor,76.7901,39.6173,1.9383,6.0358,,23,4,True,-6.025268,False,False
15,B5,99,cheapest_insertion,76.7901,39.6173,1.9383,6.0358,,23,4,True,-6.025268,False,False
15,B5,99,batch_reoptimize,76.7901,39.6173,1.9383,6.0358,,23,4,True,-6.025268,False,False
15,B5,256,nearest_neighbor,82.8096,36.8873,2.2449,5.939,,16,2,True,-4.400152,False,False
15,B5,256,cheapest_insertion,82.8096,36.8873,2.2449,5.939,,16,2,True,-4.400152,False,False
15,B5,256,batch_reoptimize,82.8096,36.8873,2.2449,5.939,,16,2,True,-4.400152,False,False
15,C,42,nearest_neighbor,38.8959,36.3758,1.0693,5.6906,1.1412,16385,15,True,-1.308889,True,False
15,C,42,cheapest_insertion,40.8917,36.3758,1.1241,5.6906,1.1412,16385,15,True,-0.310983,True,False
15,C,42,batch_reoptimize,36.5104,36.3758,1.0037,5.6906,1.1412,16385,15,True,-2.501626,True,False
15,C,123,nearest_neighbor,38.8343,33.9659,1.1433,6.4862,1.202,16385,15,True,-0.996569,True,False
15,C,123,cheapest_insertion,34.0603,33.9659,1.0028,6.4862,1.202,16385,15,True,-3.383572,True,False
15,C,123,batch_reoptimize,34.0603,33.9659,1.0028,6.4862,1.202,16385,15,True,-3.383572,True,False
15,C,7,nearest_neighbor,54.9679,39.84,1.3797,6.0307,1.4598,16385,15,True,-1.594797,True,False
15,C,7,cheapest_insertion,47.0713,39.84,1.1815,6.0307,1.4598,16385,15,True,-5.543087,True,False
