n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
12,E,7,nearest_neighbor,3.4641,1.0,0.7124,19.8,12.8168,1.5448,5.0613,,403,9,True,-2.678481,False,False
12,E,7,cheapest_insertion,3.4641,1.0,0.7124,17.6113,12.8168,1.3741,5.0613,,403,9,True,-2.678481,False,False
12,E,7,batch_reoptimize,3.4641,1.0,0.7124,17.6113,12.8168,1.3741,5.0613,,403,9,True,-2.678481,False,False
12,E,42,nearest_neighbor,3.4641,1.0,0.7124,20.2431,11.8015,1.7153,4.8704,,353,9,True,-1.324825,False,False
12,E,42,cheapest_insertion,3.4641,1.0,0.7124,17.9926,11.8015,1.5246,4.8704,,577,10,True,-1.528546,False,False
12,E,42,batch_reoptimize,3.4641,1.0,0.7124,17.9926,11.8015,1.5246,4.8704,,577,10,True,-1.528546,False,False
12,E,99,nearest_neighbor,3.4641,1.0,0.7124,20.5238,13.3839,1.5335,5.189,,161,7,True,-2.087214,False,False
12,E,99,cheapest_insertion,3.4641,1.0,0.7124,17.8903,13.3839,1.3367,5.189,,177,7,True,-2.087214,False,False
12,E,99,batch_reoptimize,3.4641,1.0,0.7124,17.7658,13.3839,1.3274,5.189,,161,7,True,-2.087214,False,False
12,E,123,nearest_neighbor,3.4641,1.0,0.7124,18.5873,11.5477,1.6096,5.4599,,385,9,True,-1.753897,False,False
12,E,123,cheapest_insertion,3.4641,1.0,0.7124,14.7506,11.5477,1.2774,5.4599,,385,9,True,-1.753897,False,False
12,E,123,batch_reoptimize,3.4641,1.0,0.7124,16.2018,11.5477,1.403,5.4599,,385,9,True,-1.753897,False,False
12,E,256,nearest_neighbor,3.4641,1.0,0.7124,15.6762,12.3423,1.2701,4.6965,,53,6,True,-1.524257,False,False
12,E,256,cheapest_insertion,3.4641,1.0,0.7124,15.591,12.3423,1.2632,4.6965,,53,6,True,-1.524257,False,False
12,E,256,batch_reoptimize,3.4641,1.0,0.7124,15.591,12.3423,1.2632,4.6965,,53,6,True,-1.524257,False,False
15,A,7,nearest_neighbor,3.873,inf,0.0,20.0235,15.43,1.2977,6.0307,1.1939,32767,15,False,3.650261,True,True
15,A,7,cheapest_insertion,3.873,inf,0.0,15.8993,15.43,1.0304,6.0307,1.1939,32767,15,True,-0.166111,True,False
15,A,7,batch_reoptimize,3.873,inf,0.0,15.43,15.43,1.0,6.0307,1.1939,32767,15,True,-0.599343,True,False
15,A,42,nearest_neighbor,3.873,inf,0.0,14.7579,14.0883,1.0475,5.6906,1.1213,32767,15,False,0.02455,True,False
15,A,42,cheapest_insertion,3.873,inf,0.0,14.0883,14.0883,1.0,5.6906,1.1213,32767,15,True,-0.570705,True,False
15,A,42,batch_reoptimize,3.873,inf,0.0,14.0883,14.0883,1.0,5.6906,1.1213,32767,15,True,-0.570705,True,False
15,A,99,nearest_neighbor,3.873,inf,0.0,16.1215,15.3437,1.0507,6.0358,1.1513,32767,15,False,0.14939,True,False
15,A,99,cheapest_insertion,3.873,inf,0.0,17.9321,15.3437,1.1687,6.0358,1.1513,32767,15,False,1.830622,True,True
15,A,99,batch_reoptimize,3.873,inf,0.0,15.3437,15.3437,1.0,6.0358,1.1513,32767,15,True,-0.565711,True,False
15,A,123,nearest_neighbor,3.873,inf,0.0,14.1397,13.1549,1.0749,6.4862,1.1454,32767,15,False,0.422439,True,False
15,A,123,cheapest_insertion,3.873,inf,0.0,13.1549,13.1549,1.0,6.4862,1.1454,32767,15,True,-0.486596,True,False
15,A,123,batch_reoptimize,3.873,inf,0.0,13.1549,13.1549,1.0,6.4862,1.1454,32767,15,True,-0.486596,True,False
15,A,256,nearest_neighbor,3.873,inf,0.0,17.5962,14.2864,1.2317,5.939,1.115,32767,15,False,2.5352,True,True
15,A,256,cheapest_insertion,3.873,inf,0.0,14.9255,14.2864,1.0447,5.939,1.115,32767,15,False,0.085833,True,False
15,A,256,batch_reoptimize,3.873,inf,0.0,14.2864,14.2864,1.0,5.939,1.115,32767,15,True,-0.491596,True,False
15,B_heavy,7,nearest_neighbor,3.873,4.0,0.1781,18.2829,15.43,1.1849,6.0307,1.3531,16385,15,True,-1.297484,True,False
15,B_heavy,7,cheapest_insertion,3.873,4.0,0.1781,17.0712,15.43,1.1064,6.0307,1.3531,16385,15,True,-1.903332,True,False
15,B_heavy,7,batch_reoptimize,3.873,4.0,0.1781,17.0015,15.43,1.1019,6.0307,1.3531,16385,15,True,-1.938146,True,False
15,B_heavy,42,nearest_neighbor,3.873,4.0,0.1781,19.9435,14.0883,1.4156,5.6906,1.5437,16385,15,True,-0.902225,True,False
15,B_heavy,42,cheapest_insertion,3.873,4.0,0.1781,16.516,14.0883,1.1723,5.6906,1.5437,16385,15,True,-1.708967,True,False
15,B_heavy,42,batch_reoptimize,3.873,4.0,0.1781,16.4881,14.0883,1.1703,5.6906,1.5437,16385,15,True,-1.708967,True,False
15,B_heavy,99,nearest_neighbor,3.873,4.0,0.1781,21.0026,15.3437,1.3688,6.0358,1.3646,16385,15,False,0.032369,True,True
15,B_heavy,99,cheapest_insertion,3.873,4.0,0.1781,16.4543,15.3437,1.0724,6.0358,1.3646,16385,15,True,-2.241825,True,False
15,B_heavy,99,batch_reoptimize,3.873,4.0,0.1781,16.4543,15.3437,1.0724,6.0358,1.3646,16385,15,True,-2.241825,True,False
15,B_heavy,123,nearest_neighbor,3.873,4.0,0.1781,17.82,13.1549,1.3546,6.4862,1.4334,16385,15,True,-0.51818,True,False
15,B_heavy,123,cheapest_insertion,3.873,4.0,0.1781,14.1096,13.1549,1.0726,6.4862,1.4334,16385,15,True,-1.960916,True,False
15,B_heavy,123,batch_reoptimize,3.873,4.0,0.1781,14.1096,13.1549,1.0726,6.4862,1.4334,16385,15,True,-1.960916,True,False
15,B_heavy,256,nearest_neighbor,3.873,4.0,0.1781,15.9261,14.2864,1.1148,5.939,,10241,14,True,-1.704171,False,False
15,B_heavy,256,cheapest_insertion,3.873,4.0,0.1781,16.2881,14.2864,1.1401,5.939,,10241,14,True,-1.704171,False,False
15,B_heavy,256,batch_reoptimize,3.873,4.0,0.1781,15.1647,14.2864,1.0615,5.939,,10241,14,True,-1.704171,False,False
15,B_medium,7,nearest_neighbor,3.873,2.0,0.3562,18.2829,15.43,1.1849,6.0307,,3713,12,True,-2.994633,False,False
15,B_medium,7,cheapest_insertion,3.873,2.0,0.3562,17.0712,15.43,1.1064,6.0307,,4737,13,True,-2.994633,False,False
15,B_medium,7,batch_reoptimize,3.873,2.0,0.3562,17.1694,15.43,1.1127,6.0307,,4737,13,True,-2.994633,False,False
15,B_medium,42,nearest_neighbor,3.873,2.0,0.3562,16.6502,14.0883,1.1818,5.6906,,9217,14,True,-1.708967,False,False
15,B_medium,42,cheapest_insertion,3.873,2.0,0.3562,16.516,14.0883,1.1723,5.6906,,9217,14,True,-1.708967,False,False
15,B_medium,42,batch_reoptimize,3.873,2.0,0.3562,16.4881,14.0883,1.1703,5.6906,,9217,14,True,-1.708967,False,False
15,B_medium,99,nearest_neighbor,3.873,2.0,0.3562,21.0026,15.3437,1.3688,6.0358,,3073,12,True,-2.333576,False,False
15,B_medium,99,cheapest_insertion,3.873,2.0,0.3562,20.501,15.3437,1.3361,6.0358,,4609,13,True,-2.333576,False,False
15,B_medium,99,batch_reoptimize,3.873,2.0,0.3562,16.4543,15.3437,1.0724,6.0358,,5377,13,True,-2.333576,False,False
15,B_medium,123,nearest_neighbor,3.873,2.0,0.3562,17.7892,13.1549,1.3523,6.4862,,2305,11,True,-1.960916,False,False
15,B_medium,123,cheapest_insertion,3.873,2.0,0.3562,16.077,13.1549,1.2221,6.4862,,3329,12,True,-1.960916,False,False
15,B_medium,123,batch_reoptimize,3.873,2.0,0.3562,15.6144,13.1549,1.187,6.4862,,3329,12,True,-1.960916,False,False
15,B_medium,256,nearest_neighbor,3.873,2.0,0.3562,18.9428,14.2864,1.3259,5.939,,2657,12,True,-1.288267,False,False
15,B_medium,256,cheapest_insertion,3.873,2.0,0.3562,18.0252,14.2864,1.2617,5.939,,3169,12,True,-1.704171,False,False
15,B_medium,256,batch_reoptimize,3.873,2.0,0.3562,16.4721,14.2864,1.153,5.939,,3169,12,True,-1.704171,False,False
15,B_light,7,nearest_neighbor,3.873,0.5,1.4248,28.1336,15.43,1.8233,6.0307,,35,4,True,-2.994633,False,False
15,B_light,7,cheapest_insertion,3.873,0.5,1.4248,27.5897,15.43,1.7881,6.0307,,95,6,True,-2.994633,False,False
15,B_light,7,batch_reoptimize,3.873,0.5,1.4248,27.5897,15.43,1.7881,6.0307,,95,6,True,-2.994633,False,False
15,B_light,42,nearest_neighbor,3.873,0.5,1.4248,26.274,14.0883,1.865,5.6906,,33,4,True,-1.708967,False,False
15,B_light,42,cheapest_insertion,3.873,0.5,1.4248,25.5451,14.0883,1.8132,5.6906,,71,5,True,-1.708967,False,False
15,B_light,42,batch_reoptimize,3.873,0.5,1.4248,25.5451,14.0883,1.8132,5.6906,,71,5,True,-1.708967,False,False
15,B_light,99,nearest_neighbor,3.873,0.5,1.4248,26.8591,15.3437,1.7505,6.0358,,29,4,True,-2.333576,False,False
15,B_light,99,cheapest_insertion,3.873,0.5,1.4248,25.6442,15.3437,1.6713,6.0358,,35,4,True,-2.333576,False,False
15,B_light,99,batch_reoptimize,3.873,0.5,1.4248,25.6442,15.3437,1.6713,6.0358,,35,4,True,-2.333576,False,False
15,B_light,123,nearest_neighbor,3.873,0.5,1.4248,25.164,13.1549,1.9129,6.4862,,35,4,True,-1.960916,False,False
15,B_light,123,cheapest_insertion,3.873,0.5,1.4248,24.8389,13.1549,1.8882,6.4862,,29,4,True,-1.960916,False,False
15,B_light,123,batch_reoptimize,3.873,0.5,1.4248,24.8389,13.1549,1.8882,6.4862,,29,4,True,-1.960916,False,False
